ebird_code_v2022,scientific_name
ostric2,Struthio camelus
grerhe1,Rhea americana
lesrhe2,Rhea pennata
sobkiw1,Apteryx australis
nibkiw1,Apteryx mantelli
okbkiw1,Apteryx rowi
liskiw1,Apteryx owenii
grskiw1,Apteryx haastii
soucas1,Casuarius casuarius
dwacas1,Casuarius bennetti
norcas1,Casuarius unappendiculatus
emu1,Dromaius novaehollandiae
grytin1,Tinamus tao
soltin1,Tinamus solitarius
blatin1,Tinamus osgoodi
gretin1,Tinamus major
whttin1,Tinamus guttatus
higtin1,Nothocercus bonapartei
tabtin1,Nothocercus julius
hootin1,Nothocercus nigrocapillus
bertin1,Crypturellus berlepschi
cintin1,Crypturellus cinereus
littin1,Crypturellus soui
teptin1,Crypturellus ptaritepui
brotin1,Crypturellus obsoletus
undtin1,Crypturellus undulatus
pabtin1,Crypturellus transfasciatus
bratin1,Crypturellus strigulosus
gyltin1,Crypturellus duidae
reltin1,Crypturellus erythropus
yeltin1,Crypturellus noctivagus
blctin1,Crypturellus atrocapillus
thitin1,Crypturellus cinnamomeus
slbtin1,Crypturellus boucardi
chotin1,Crypturellus kerriae
vartin1,Crypturellus variegatus
rustin1,Crypturellus brevirostris
bartin2,Crypturellus bartletti
smbtin1,Crypturellus parvirostris
bartin1,Crypturellus casiquiare
tattin1,Crypturellus tataupa
rewtin1,Rhynchotus rufescens
huatin1,Rhynchotus maculicollis
tactin1,Nothoprocta taczanowskii
orntin1,Nothoprocta ornata
chitin1,Nothoprocta perdicaria
brutin1,Nothoprocta cinerascens
andtin1,Nothoprocta pentlandii
cubtin1,Nothoprocta curvirostris
whbnot1,Nothura boraquira
lesnot1,Nothura minor
darnot1,Nothura darwinii
sponot1,Nothura maculosa
dwatin1,Taoniscus nanus
elctin1,Eudromia elegans
quctin1,Eudromia formosa
puntin1,Tinamotis pentlandii
pattin1,Tinamotis ingoufi
horscr1,Anhima cornuta
norscr1,Chauna chavaria
souscr1,Chauna torquata
maggoo1,Anseranas semipalmata
wfwduc1,Dendrocygna viduata
bbwduc,Dendrocygna autumnalis
spwduc1,Dendrocygna guttata
wiwduc1,Dendrocygna arborea
fuwduc,Dendrocygna bicolor
plwduc1,Dendrocygna eytoni
wawduc1,Dendrocygna arcuata
lewduc1,Dendrocygna javanica
whbduc1,Thalassornis leuconotus
cabgoo1,Cereopsis novaehollandiae
brant,Branta bernicla
rebgoo1,Branta ruficollis
hawgoo,Branta sandvicensis
cangoo,Branta canadensis
bargoo,Branta leucopsis
cacgoo1,Branta hutchinsii
bahgoo,Anser indicus
empgoo,Anser canagicus
rosgoo,Anser rossii
snogoo,Anser caerulescens
gragoo,Anser anser
swagoo1,Anser cygnoides
taibeg1,Anser fabalis
pifgoo,Anser brachyrhynchus
tunbeg1,Anser serrirostris
gwfgoo,Anser albifrons
lwfgoo,Anser erythropus
cosswa1,Coscoroba coscoroba
blkswa,Cygnus atratus
blnswa2,Cygnus melancoryphus
mutswa,Cygnus olor
truswa,Cygnus buccinator
tunswa,Cygnus columbianus
whoswa,Cygnus cygnus
freduc1,Stictonetta naevosa
flystd1,Tachyeres patachonicus
flistd1,Tachyeres pteneres
falstd1,Tachyeres brachypterus
whhstd1,Tachyeres leucocephalus
torduc1,Merganetta armata
spwgoo1,Plectropterus gambensis
comduc3,Sarkidiornis sylvicola
comduc2,Sarkidiornis melanotos
buwgoo1,Cyanochen cyanoptera
egygoo,Alopochen aegyptiaca
origoo1,Oressochen jubatus
andgoo1,Oressochen melanopterus
uplgoo1,Chloephaga picta
kelgoo1,Chloephaga hybrida
ashgoo1,Chloephaga poliocephala
ruhgoo1,Chloephaga rubidiceps
radshe1,Radjah radjah
